gene,set,immune_beta_unadj,immune_p_unadj,immune_beta_adj,immune_p_adj,CYT_beta_adj,CYT_p_adj,melanocyte_lineage
LOC100418723,background,0.12742453867653764,2.2091178844696223e-39,0.12686059958967463,9.963047614888608e-39,0.06898796725310923,6.395390770445533e-12,False
WEE2,background,0.002535408656041016,0.7947157472295949,0.004120005436797356,0.673755801875054,-0.01190332796195341,0.23783171741600095,False
GNG11,background,0.2703759897849126,7.006585547898204e-176,0.2716274402971701,4.6671832471264146e-176,0.19289142400752596,2.1372915729975332e-85,False
MRPS11P1,background,0.010932489334907917,0.24656123535982333,0.01152834942518692,0.22364553858355768,0.0009653093996422903,0.9197805578693594,False
NR2F2,background,0.18815538356482184,1.5201801002579914e-84,0.18936807614867887,6.441058536920732e-85,0.07614634957860489,1.50813858720683e-14,False
LINC01550,background,0.3493026226100776,5.717425431062271e-300,0.34875578575747807,1.9425447370284847e-296,0.26702889930617674,9.872128578861568e-169,False
RPL37P10,background,-0.01307379300490061,0.11019771586394893,-0.012813220538911797,0.1186322776558776,-0.005577018528565101,0.5158786811096812,False
FBXL5,background,0.20793245154154158,3.0923284856286124e-103,0.20752945754380914,5.6691551788995536e-102,0.10128762471941813,7.448344516889261e-25,False
LOC105379340,background,0.011279239070234613,0.24528782671747185,0.01075067665532726,0.2701569136040889,0.014754827237117107,0.13918875826605526,False
C4orf36,background,0.05468516515471023,1.9524398646929584e-08,0.05457168139205536,2.3983854390381522e-08,-0.0005753958678273309,0.9539407599708152,False
AHCYP3,background,-0.00626119916859973,0.5169418291812794,-0.004406581877751124,0.6497063577821014,-0.020770097335045354,0.03808312247749173,False
FAUP2,background,-0.006123641908896316,0.5062539929292245,-0.006375074982496738,0.49067594102826584,-0.011889725487306388,0.21298821686318103,False
WDR5,background,0.0029027601724552834,0.7657864593833296,0.0018869153715911178,0.8471061368343278,0.01724176394556406,0.08233901616928328,False
COILP1,background,0.04079717431349839,2.8083392141472376e-05,0.041100461774755695,2.650693190020972e-05,0.02624671213903439,0.009108271731043916,False
PES1-AS1,background,-0.013513888036721482,0.1368845178135791,-0.014363648444752073,0.1152761149847839,-0.010754343425962582,0.25249301869068946,False
SMAD7,background,0.22388554996484242,8.551905942858267e-120,0.22417471740050351,4.2565760111696217e-119,0.13291273632692058,3.182589219537643e-41,False
VPS51,background,-0.03485617573633408,0.0003460534979833605,-0.03450976793661782,0.00041968615160180387,-0.015263638039956444,0.12248468202611919,False
RNU5F-3P,background,0.000634669696422505,0.8467812358077502,0.001174322210685307,0.7159880461151847,-0.002342904155273328,0.4936334125199595,False
RN7SL726P,background,-0.02827019454995543,0.003199438170711619,-0.02842680402393503,0.003159280872627639,-0.01826393675899556,0.06377893653866927,False
LOC105372061,background,0.008694331898110797,0.3722556645781584,0.00984396199151462,0.31445577804420694,-0.00623669381758785,0.5352243347482346,False
LYAR,background,0.13627412884406231,7.653306715460148e-45,0.13487833986051748,1.3511348660856137e-43,0.10541640695494862,1.0921347573186509e-26,False
ATP5PBP6,background,0.0017596784905824457,0.8530860726780736,0.002349536092934252,0.8055020045624455,-0.021171561253180093,0.032523744335178725,False
SNORD14C,background,-0.0002171700959953449,0.9608097294572514,0.00020991172662558735,0.9618771033732909,-0.002071581900384248,0.6564272557391841,False
TP53RK-DT,background,0.02651713542062794,0.006493742113524927,0.02616591724481421,0.007491067543609096,-0.00994637873027532,0.3219531484718462,False
RNU6-256P,background,2.5849394142282115e-25,1.0,-4.722942803736365e-22,0.0,1.052070341590882e-21,0.0,False
LOC102723305,background,0.23158311231187578,2.8873521341198805e-128,0.2322759190726213,5.864518282544766e-128,0.14554719064312918,6.162832159867107e-49,False
TSEN2,background,-0.15530543268877745,7.24254995228566e-58,-0.15409904604349203,1.6194311891118466e-56,-0.1149447297419522,7.791970377971694e-31,False
DDR1,background,-0.034621759496714116,0.0003793361333530599,-0.03449489359203103,0.0004221042347227877,-0.05956565406231618,1.9733523438042525e-09,False
AKAP8P1,background,-0.02005232351356087,0.03721504910789464,-0.019492722137775913,0.043725962862991685,-0.014179798503839736,0.15352159547003952,False
