query,hallmark,query_size,hallmark_size_in_background,overlap,expected_overlap,enrichment,pvalue,overlap_genes,fdr
FDR<0.05_set,UV_RESPONSE_UP,13,158,0,0.10701818371281197,0.0,1.0,,1.0
FDR<0.05_set,WNT_BETA_CATENIN_SIGNALING,13,42,0,0.02844787161986141,0.0,1.0,,1.0
FDR<0.05_set,XENOBIOTIC_METABOLISM,13,198,0,0.13411139477934664,0.0,1.0,,1.0
top30_by_delta,TGF_BETA_SIGNALING,30,54,2,0.08440577293805034,23.69506172839506,0.0032134055656592186,CDH1;SMAD7,0.06044988171002321
top30_by_delta,INTERFERON_GAMMA_RESPONSE,30,198,3,0.3094878341061845,9.693434343434344,0.0035760650521427435,IRF4;PTPN1;USP18,0.06044988171002321
top30_by_delta,TNFA_SIGNALING_VIA_NFKB,30,199,3,0.3110509039754077,9.644723618090453,0.0036269929026013924,BCL2A1;MAFF;RELA,0.06044988171002321
top30_by_delta,APOPTOSIS,30,161,2,0.2516542489449278,7.947412008281574,0.02608699808702807,RELA;SMAD7,0.32355729406465755
top30_by_delta,IL2_STAT5_SIGNALING,30,198,2,0.3094878341061845,6.462289562289563,0.03812515503293097,IRF4;MAFF,0.32355729406465755
top30_by_delta,HYPOXIA,30,200,2,0.31261397384463085,6.397666666666667,0.038826875287758904,EXT1;MAFF,0.32355729406465755
top30_by_delta,NOTCH_SIGNALING,30,32,1,0.050018235815140935,19.992708333333333,0.04886366702686365,TCF7L2,0.34902619304902605
top30_by_delta,APICAL_SURFACE,30,44,1,0.06877507424581879,14.540151515151516,0.0665857322297485,EFNA5,0.41616082643592817
top30_by_delta,IL6_JAK_STAT3_SIGNALING,30,87,1,0.1359870786224144,7.353639846743295,0.12750602575226652,PTPN1,0.5866110558297045
top30_by_delta,INTERFERON_ALPHA_RESPONSE,30,97,1,0.15161777731464596,6.5955326460481105,0.1411126020508504,USP18,0.5866110558297045
top30_by_delta,COAGULATION,30,138,1,0.2157036419527953,4.635990338164251,0.1947859664576137,MAFF,0.5866110558297045
top30_by_delta,UV_RESPONSE_DN,30,144,1,0.22508206116813423,4.442824074074074,0.20236340639377445,SMAD7,0.5866110558297045
top30_by_delta,APICAL_JUNCTION,30,198,1,0.3094878341061845,3.2311447811447813,0.26752917732090925,CDH1,0.5866110558297045
top30_by_delta,ESTROGEN_RESPONSE_LATE,30,198,1,0.3094878341061845,3.2311447811447813,0.26752917732090925,CDH1,0.5866110558297045
top30_by_delta,HEME_METABOLISM,30,198,1,0.3094878341061845,3.2311447811447813,0.26752917732090925,KLF3,0.5866110558297045
top30_by_delta,P53_PATHWAY,30,198,1,0.3094878341061845,3.2311447811447813,0.26752917732090925,MDM2,0.5866110558297045
top30_by_delta,G2M_CHECKPOINT,30,199,1,0.3110509039754077,3.2149078726968177,0.26868601462969427,EFNA5,0.5866110558297045
top30_by_delta,MYC_TARGETS_V1,30,199,1,0.3110509039754077,3.2149078726968177,0.26868601462969427,FAM120A,0.5866110558297045
top30_by_delta,ALLOGRAFT_REJECTION,30,200,1,0.31261397384463085,3.1988333333333334,0.2698410856816641,IRF4,0.5866110558297045
top30_by_delta,COMPLEMENT,30,200,1,0.31261397384463085,3.1988333333333334,0.2698410856816641,MAFF,0.5866110558297045
top30_by_delta,EPITHELIAL_MESENCHYMAL_TRANSITION,30,200,1,0.31261397384463085,3.1988333333333334,0.2698410856816641,CDH2,0.5866110558297045
top30_by_delta,GLYCOLYSIS,30,200,1,0.31261397384463085,3.1988333333333334,0.2698410856816641,EXT1,0.5866110558297045
top30_by_delta,INFLAMMATORY_RESPONSE,30,200,1,0.31261397384463085,3.1988333333333334,0.2698410856816641,RELA,0.5866110558297045
top30_by_delta,ADIPOGENESIS,30,200,0,0.31261397384463085,0.0,1.0,,1.0
top30_by_delta,ANDROGEN_RESPONSE,30,100,0,0.15630698692231543,0.0,1.0,,1.0
top30_by_delta,ANGIOGENESIS,30,36,0,0.05627051529203356,0.0,1.0,,1.0
top30_by_delta,BILE_ACID_METABOLISM,30,112,0,0.17506382535299328,0.0,1.0,,1.0
top30_by_delta,CHOLESTEROL_HOMEOSTASIS,30,74,0,0.11566717032251342,0.0,1.0,,1.0
top30_by_delta,DNA_REPAIR,30,150,0,0.23446048038347314,0.0,1.0,,1.0
top30_by_delta,E2F_TARGETS,30,200,0,0.31261397384463085,0.0,1.0,,1.0
top30_by_delta,ESTROGEN_RESPONSE_EARLY,30,198,0,0.3094878341061845,0.0,1.0,,1.0
top30_by_delta,FATTY_ACID_METABOLISM,30,156,0,0.24383889959881205,0.0,1.0,,1.0
top30_by_delta,HEDGEHOG_SIGNALING,30,36,0,0.05627051529203356,0.0,1.0,,1.0
top30_by_delta,KRAS_SIGNALING_DN,30,200,0,0.31261397384463085,0.0,1.0,,1.0
top30_by_delta,KRAS_SIGNALING_UP,30,200,0,0.31261397384463085,0.0,1.0,,1.0
top30_by_delta,MITOTIC_SPINDLE,30,199,0,0.3110509039754077,0.0,1.0,,1.0
